s_arc,x,y,z,width_left,width_right,sector
0.0000,-0.5188,-0.5198,0.0000,7.5130,7.2410,1
4.9975,0.7553,-5.3521,0.0000,7.3270,7.1560,1
9.9948,2.0187,-10.1871,0.0000,7.1370,7.0700,1
14.9918,3.2704,-15.0248,0.0000,6.9480,6.9840,1
19.9886,4.5097,-19.8655,0.0000,6.7590,6.8980,1
24.9853,5.7359,-24.7093,0.0000,6.5700,6.8120,1
29.9818,6.9523,-29.5555,0.0000,6.3820,6.7260,1
34.9782,8.1651,-34.4025,0.0000,6.5160,6.8600,1
39.9746,9.3803,-39.2489,0.0000,6.6170,6.9590,1
44.9711,10.6041,-44.0932,0.0000,6.6060,6.9450,1
49.9678,11.8428,-48.9339,0.0000,6.5960,6.9310,1
54.9648,13.1025,-53.7695,0.0000,6.5860,6.9180,1
59.9624,14.3884,-58.5989,0.0000,6.5760,6.9040,1
64.9606,15.6983,-63.4224,0.0000,6.5660,6.8900,1
69.9594,17.0269,-68.2414,0.0000,6.5560,6.8770,1
74.9585,18.3687,-73.0570,0.0000,6.5460,6.8630,1
79.9579,19.7185,-77.8707,0.0000,6.5350,6.8490,1
84.9572,21.0709,-82.6836,0.0000,6.5250,6.8350,1
89.9562,22.4204,-87.4970,0.0000,6.5150,6.8220,1
94.9548,23.7629,-92.3120,0.0000,6.5050,6.8080,1
99.9529,25.0981,-97.1285,0.0000,6.4950,6.7940,1
104.9508,26.4268,-101.9465,0.0000,6.4850,6.7810,1
109.9483,27.7500,-106.7657,0.0000,6.4750,6.7670,1
114.9457,29.0683,-111.5860,0.0000,6.4640,6.7530,1
119.9429,30.3827,-116.4072,0.0000,6.4540,6.7400,1
124.9400,31.6939,-121.2292,0.0000,6.4440,6.7260,1
